URL,Heading,Content
https://www.hull.ac.uk/study/webinars.aspx,Applying to Hull,"Get a complete step-by-step guide on applying to university, including how to make the right choice for you, Live Chat for instant answers and advice, and specific advice for parents and carers. We’ll help you to get the place on the course you want."
https://www.hull.ac.uk/study/webinars.aspx,Fees and finance,"Our online guide can take you through everything you need to know. From tuition fees and maintenance loans, to scholarships and childcare grants. And, of course, how to apply when the time comes."
https://www.hull.ac.uk/study/webinars.aspx,Student support,"Whether it’s about money, your health or your studies, or you need pointing in the right career direction, you only have to ask. We won’t meddle, pry or preach, but we will do everything we can to help. Before you arrive, while you’re here, and even after you’ve left."
https://www.hull.ac.uk/study/webinars.aspx,Ready to take your next step?,
https://www.hull.ac.uk/study/webinars.aspx,Not ready to apply?,
https://www.hull.ac.uk/study/undergraduate/,It’s time to find your extraordinary,
https://www.hull.ac.uk/study/undergraduate/,We are Hull. And so are you.,"Study at a university where you can be you. You’ll feel welcome from day one and always connected and supported, so you can really make the most of your experience with us."
https://www.hull.ac.uk/study/undergraduate/,Watch an on-demand session for your subject now,
https://www.hull.ac.uk/study/undergraduate/,Criminology,
https://www.hull.ac.uk/study/undergraduate/,Computer Science,
https://www.hull.ac.uk/study/undergraduate/,"Sport, Health and Exercise Science",
https://www.hull.ac.uk/study/undergraduate/,Business and Management,
https://www.hull.ac.uk/study/undergraduate/,Game Design,
https://www.hull.ac.uk/study/undergraduate/,See all on-demand subject sessions,
https://www.hull.ac.uk/study/undergraduate/,Your student experience,"Of course, there’s a lot more to your time with us than the course you study."
https://www.hull.ac.uk/study/undergraduate/,"2,312",
https://www.hull.ac.uk/study/undergraduate/,Team GB,
https://www.hull.ac.uk/study/undergraduate/,"14,000 +",
https://www.hull.ac.uk/study/undergraduate/,1 million +,
https://www.hull.ac.uk/study/undergraduate/,1927,
https://www.hull.ac.uk/study/undergraduate/,79,
https://www.hull.ac.uk/study/undergraduate/,"1,000 +",
https://www.hull.ac.uk/study/undergraduate/,12 courts,
https://www.hull.ac.uk/study/undergraduate/,This is where you’re meant to be,The best way to find out if we’re the right choice for you is to come to one of our Open Days and see it all for yourself. It's your chance to imagine what your life as a student at Hull could be like.
https://www.hull.ac.uk/study/undergraduate/,You can also view sessions on demand right now,
https://www.hull.ac.uk/study/undergraduate/,UCAS Personal Statements,
https://www.hull.ac.uk/study/undergraduate/,Foundation year studies,
https://www.hull.ac.uk/study/undergraduate/,Accommodation: at home at Hull,
https://www.hull.ac.uk/study/undergraduate/,Admissions: how to apply,
https://www.hull.ac.uk/study/undergraduate/,Accommodation,"With over 2,000 high quality rooms, all on campus, there’s a great range of accommodation options for you to choose from. And accommodation is guaranteed for all first years. 1"
https://www.hull.ac.uk/study/undergraduate/,Accommodation: at home at Hull,
https://www.hull.ac.uk/study/undergraduate/,How to apply,"Applying to university can be a bit of a stressful business. Let us help you out, with top tips about what university admissions tutors are looking for when they’re assessing your application."
https://www.hull.ac.uk/study/undergraduate/,Admissions: how to apply,
https://www.hull.ac.uk/study/undergraduate/,There’s no place like Hull,"From our beautiful campus to our friendly lecturers, there are loads of reasons to choose Hull. And with brilliant bars and restaurants, huge festivals and so much more, you’ll fall in love with our city, too."
https://www.hull.ac.uk/study/undergraduate/,Your next steps,"We’re here to help at every stage of your journey to university, whether you’re looking for a course, or you’re ready to apply. If you have any questions, just get in touch. You can also receive important updates from us using the form."
https://www.hull.ac.uk/study/undergraduate/,Footnotes,"All new students are guaranteed a single-person room within our University owned, managed or directed accommodation if you sign up by 1 October 2024. There is no on-campus provision for families and the University does not offer childcare."
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Accounting and Finance,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: American Studies,
https://www.hull.ac.uk/study/undergraduate/,"On-demand subject session: Biology, Marine Biology and Zoology",
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Biomedical Science,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Business Management,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Chemical Engineering,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Chemistry,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Computer Science,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Creative Industries,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Criminology,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Drama,
